"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"1","Maharashtra","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","190289442"
"2","Jammu And Kashmir","ABDUL RASHID SHEIKH","BARAMULLAH","154773472.11"
"3","Bihar","ABHAY KUMAR SINHA","AURANGABAD_BR","147000000"
"4","West Bengal","ABHIJIT GANGOPADHYAY","TAMLUK","147000000"
"5","West Bengal","Abu Taher Khan","MURSHIDABAD","147000000"
"6","West Bengal","ADHIKARI SOUMENDU","KANTHI","147000000"
"7","Uttar Pradesh","ADITYA YADAV","BADAUN","147000000"
"8","Kerala","Adv Adoor Prakash","ATTINGAL","147000000"
"9","Kerala","Adv Dean Kuriakose","IDUKKI","147000000"
"10","Maharashtra","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","147816309.11"
"11","Kerala","ADV K FRANCIS GEORGE","KOTTAYAM","188722256.11"
"12","Uttar Pradesh","AFZAL ANSARI","GHAZIPUR","220500000"
"13","Jammu And Kashmir","AGA SYED RUHULLAH MEHDI","SRINAGAR","147000000"
"14","Uttarakhand","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","147000000"
"15","Bihar","Ajay Kumar Mandal","BHAGALPUR","147000000"
"16","Uttarakhand","Ajay Tamta","ALMORA(SC)","147000000"
"17","Uttar Pradesh","AJENDRA SINGH LODHI","HAMIRPUR_UP","147000000"
"18","Uttar Pradesh","AKHILESH YADAV","KANNAUJ","147000000"
"19","Uttar Pradesh","AKSHAYA YADAV","FIROZABAD","147000000"
"20","Manipur","ALFRED KANNGAM S ARTHUR","OUTER MANIPUR(ST)","147000000"
"21","Bihar","Alok Kumar Suman","GOPALGANJ (SC)","147000000"
"22","Madhya Pradesh","ALOK SHARMA","BHOPAL","147000000"
"23","Maharashtra","AMAR SHARADRAO KALE","WARDHA","147000000"
"24","Assam","AMARSING TISSO","Diphu (ST)","147000000"
"25","Andhra Pradesh","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","201899064.11"
"26","Maharashtra","Amol Ramsing Kolhe","SHIRUR","147000000"
"27","Rajasthan","AMRARAM","SIKAR","165691544.11"
"28","Punjab","AMRINDER SINGH RAJA WARRING","LUDHIANA","147000000"
"29","Uttar Pradesh","ANAND BHADAURIYA","DHAURAHRA","147000000"
"30","Uttar Pradesh","ANAND KUMAR","BAHRAICH(SC)","147000000"
"31","Odisha","ANANTA NAYAK","KEONJHAR(ST)","147000000"
"32","Tamil Nadu","Andimuthu Raja","NILGIRIS(SC)","147000000"
"33","Meghalaya","ANDREW J. SYNGKON","SHILLONG","98000000"
"34","Manipur","ANGOMCHA BIMOL AKOIJAM","INNER MANIPUR","147000000"
"35","Uttarakhand","ANIL BALUNI","GARHWAL","147000000"
"36","Maharashtra","ANIL YESHWANT DESAI","MUMBAI SOUTH CENTRAL","147000000"
"37","Madhya Pradesh","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","147000000"
"38","Odisha","ANITA SUBHADARSHINI","ASKA","147000000"
"39","Jharkhand","Annpurna Devi","KODARMA","166665931.8"
"40","Uttar Pradesh","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","147000000"
"41","Kerala","Anto Antony","PATHANAMTHITTA","147000000"
"42","Maharashtra","ANUP SANJAY DHOTRE","AKOLA","147000000"
"43","Uttar Pradesh","Anurag Sharma","JHANSI","147000000"
"44","Himachal Pradesh","Anurag Singh Thakur","HAMIRPUR_HP","149570117.11"
"45","Andhra Pradesh","Appalanaidu Kalisetti","VIZIANAGARAM","147000000"
"46","Bihar","ARUN BHARTI","JAMUI(SC)","194924621.11"
"47","Uttar Pradesh","ARUN GOVIL","MEERUT","147000000"
"48","Tamil Nadu","ARUN NEHRU","PERAMBALUR","147000000"
"49","Telangana","ARUNA. D. K","MAHABUBNAGAR","147000000"
"50","West Bengal","ARUP CHAKRABORTY","BANKURA","147000000"
"51","Telangana","Arvind Dharmapuri","NIZAMABAD","281396355.11"
"52","Maharashtra","Arvind Ganpat Sawant","MUMBAI SOUTH","147000000"
"53","Telangana","Asaduddin Owaisi","HYDERABAD","147000000"
"54","Madhya Pradesh","ASHISH DUBEY","JABALPUR","147000000"
"55","Uttar Pradesh","Ashok Kumar Rawat","MISRIKH(SC)","147000000"
"56","Bihar","Ashok Kumar Yadav","MADHUBANI","147000000"
"57","West Bengal","Asit Kumar Mal","BOLPUR(SC)","275694456.74"
"58","Uttar Pradesh","ATUL GARG","GHAZIABAD","155336470"
"59","Odisha","AVIMANYU SETHI","BHADRAK(SC)","147000000"
"60","Uttar Pradesh","AWADHESH PRASAD","FAIZABAD","147000000"
"61","West Bengal","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","179658399.98"
"62","Andhra Pradesh","B K PARTHASARATHI","HINDUPUR","160491894.11"
"63","Uttar Pradesh","BABU SINGH KUSHWAHA","JAUNPUR","147000000"
"64","Maharashtra","BACHHAV SHOBHA DINESH","DHULE","147000000"
"65","West Bengal","BAG MITALI","ARAMBAG(SC)","147000000"
"66","Odisha","BAIJAYANT PANDA","KENDRAPARA","147000000"
"67","Maharashtra","BAJRANG MANOHAR SONWANE","BEED","165899107.19"
"68","Odisha","BALABHADRA MAJHI","NABARANGPUR(ST)","147413962.11"
"69","Andhra Pradesh","Balashowry Vallabbhaneni","MACHILIPATNAM","147000000"
"70","Telangana","BALRAM NAIK PORIKA","MAHABUBABAD","147000000"
"71","Maharashtra","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","198293678"
"72","Maharashtra","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","147000000"
"73","Delhi","Bansuri Swaraj","NEW DELHI","154306950"
"74","West Bengal","BAPI HALDAR","MATHURAPUR(SC)","147000000"
"75","Karnataka","BASAVARAJ BOMMAI","HAVERI","147000000"
"76","Andhra Pradesh","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","159998515.11"
"77","Rajasthan","Bhagirath Chaudhary","AJMER","147000000"
"78","Rajasthan","BHAJAN LAL JATAV","KARAULI-DHOLPUR(SC)","147000000"
"79","Madhya Pradesh","BHARAT SINGH KUSHWAH","GWALIOR","151455276.04"
"80","Gujarat","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","147000000"
"81","Gujarat","Bharatsinhji Shankarji Dabhi","PATAN","147000000"
"82","Madhya Pradesh","BHARTI PARDHI","BALAGHAT","154398389.01"
"83","Maharashtra","BHASKAR MURLIDHAR BHAGARE","DINDORI(ST)","147000000"
"84","Maharashtra","BHAUSAHEB RAJARAM WAKCHAURE","SHIRDI(SC)","147000000"
"85","Chhattisgarh","BHOJRAJ NAG","KANKER(ST)","164672734.11"
"86","Uttar Pradesh","Bhola Singh","BULANDSHAHR(SC)","147000000"
"87","Maharashtra","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","147000000"
"88","Andhra Pradesh","Bhupathiraju Srinivasa varma","NARASAPURAM","147000000"
"89","Rajasthan","BHUPENDER YADAV","ALWAR","147000000"
"90","Odisha","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","147000000"
"91","Jharkhand","Bidyut Baran Mahato","JAMSHEDPUR","147000000"
"92","Assam","BIJULI KALITA MEDHI","GUWAHATI","147000000"
"93","Tripura","BIPLAB KUMAR DEB","TRIPURA WEST","147000000"
"94","Andaman And Nicobar Islands","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","147000000"
"95","Rajasthan","BRIJENDRA SINGH OLA","JHUNJHUNU","147000000"
"96","Chhattisgarh","BRIJMOHAN AGRAWAL","RAIPUR","153766451.11"
"97","Madhya Pradesh","BUNTY VIVEK SAHU","CHHINDWARA","147000000"
"98","Gujarat","C R Patil","NAVSARI","158532494.36"
"99","Andhra Pradesh","C.M.RAMESH","ANAKAPALLE","202531656.11"
"100","Karnataka","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","147000000"
"101","Goa","CAPTAIN VIRIATO FERNANDES","SOUTH GOA","147000000"
"102","Telangana","CHAMALA KIRAN KUMAR REDDY","BHONGIR","147000000"
"103","Uttar Pradesh","CHANDAN CHAUHAN","BIJNOR","147000000"
"104","Rajasthan","Chandra Prakash Joshi","CHITTORGARH","147000000"
"105","Uttar Pradesh","CHANDRA SHEKHAR","NAGINA(SC)","147000000"
"106","Gujarat","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","147000000"
"107","Punjab","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","147000000"
"108","Maharashtra","CHAVAN VASANTRAO BALWANTRAO","NANDED",""
"109","Uttar Pradesh","CHHATRA PAL SINGH GANGWAR","BAREILLY","147000000"
"110","Maharashtra","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","147000000"
"111","Uttar Pradesh","CHHOTELAL","ROBERTSGANJ(SC)","147000000"
"112","Chhattisgarh","CHINTAMANI MAHARAJ","SARGUJA(ST)","147000000"
"113","Bihar","CHIRAG PASWAN","HAJIPUR(SC)","147000000"
"114","Tamil Nadu","CN Annadurai","TIRUVANNAMALAI","148579509.11"
"115","Tamil Nadu","D M Kathir Anand","VELLORE","160196941.11"
"116","Tamil Nadu","D Ravikumar","VILUPPURAM(SC)","197598306.11"
"117","Andhra Pradesh","Daggubati Purandeshwari","RAJAHMUNDRY","147000000"
"118","Andhra Pradesh","DAGGUMALLA PRASADA RAO","CHITTOOR","147000000"
"119","Rajasthan","DAMODAR AGARWAL","BHILWARA","147000000"
"120","Uttar Pradesh","DAROGA PRASAD SAROJ","LALGANJ (SC)","147000000"
"121","Madhya Pradesh","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","147000000"
"122","Haryana","DEEPENDER SINGH HOODA","ROHTAK","147000000"
"123","Uttar Pradesh","Devendra Alias Bhole Singh","AKBARPUR","147000000"
"124","Bihar","DEVESH CHANDRA THAKUR","SITAMARHI","163809205.11"
"125","Uttar Pradesh","DEVESH SHAKYA","ETAH","147000000"
"126","Gujarat","Devusinh Jesingbhai Chauhan","KHEDA","147000000"
"127","Maharashtra","Dhairyasheel Sambhajirao Mane","HATKANANGLE","147000000"
"128","Maharashtra","DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","CHANDRAPUR","147000000"
"129","Odisha","DHARMENDRA PRADHAN","SAMBALPUR","147000000"
"130","Uttar Pradesh","DHARMENDRA YADAV","AZAMGARH","147000000"
"131","Gujarat","DHAVAL LAXMANBHAI PATEL","VALSAD(ST)","147000000"
"132","Bihar","Dileshwar Kamait","SUPAUL","150450930.89"
"133","Assam","Dilip Saikia","Darrang-Udalguri","147000000"
"134","Bihar","Dinesh Chandra Yadav","MADHEPURA","150070866.11"
"135","Gujarat","DINESHBHAI MAKWANA","AHMEDABAD WEST(SC)","160434965.11"
"136","Andhra Pradesh","DR BYREDDY SHABARI","NANDYAL","150675889.11"
"137","Karnataka","DR C N MANJUNATH","BANGALORE RURAL","147000000"
