"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"1","Telangana","Dr. Abhishek Manu Singhvi (2026-32) (2026-2032)","Elected MP","73421449"
"2","Maharashtra","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","147000000"
"3","Rajasthan","Dr. Alka Singh (2026-32) (2026-2032)","Elected MP","49000000"
"4","Tamil Nadu","Dr. Anbumani Ramadoss (2026-32) (2026-2032)","Elected MP","49356476.5"
"5","Maharashtra","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","196063957.11"
"6","Punjab","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","222487632.14"
"7","Bihar","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","186200000"
"8","Karnataka","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","196063957.11"
"9","Bihar","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","186200000"
"10","Uttar Pradesh","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","147000000"
"11","Bihar","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","235263957.11"
"12","Kerala","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","245063957.11"
"13","Maharashtra","Dr. Jyoti Nagnath Waghmare (2026-32) (2026-2032)","Elected MP","49000000"
"14","Uttar Pradesh","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","197637007.11"
"15","Uttarakhand","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","200830405.8"
"16","Madhya Pradesh","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","197118521.35000002"
"17","Madhya Pradesh","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","147000000"
"18","Uttar Pradesh","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","196000000"
"19","Tamil Nadu","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","89248285.42"
"20","Tamil Nadu","Dr. M. Thambi Durai (2026-32) (2026-2032)","Elected MP","49356476.5"
"21","Maharashtra","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","147000000"
"22","Delhi","Dr. Meenakshi Jain (2025-31) (2025-2031)","Nominated MP","73500000"
"23","Gujarat","Dr. Mukeshbhai J. Rathwa (2026-32) (2026-2032)","Elected MP","49000000"
"24","Gujarat","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","147000000"
"25","Uttar Pradesh","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","203626524.67000002"
"26","Punjab","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","232203454.24"
"27","Uttar Pradesh","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","147000000"
"28","Odisha","Dr. Santrupt Misra (2026-32) (2026-2032)","Elected MP","49000000"
"29","Jharkhand","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","178564551.09"
"30","Odisha","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","196063957.11"
"31","Rajasthan","Dr. Satish Poonia (2026-32) (2026-2032)","Elected MP","49000000"
"32","Himachal Pradesh","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","207863957.11"
"33","Uttar Pradesh","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","147000000"
"34","Karnataka","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","147000000"
"35","Kerala","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","276720323.27"
"36","Punjab","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","198656208.57000002"
"37","West Bengal","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","171500000"
"38","Delhi","Ms. Swati Maliwal (2024-30) (2024-2030)","Elected MP","147000000"
"39","Bihar","Prof. Manoj Kumar Jha (2024-30) (2024-2030)","Elected MP","191620112.11"
"40","Uttar Pradesh","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","221271395.11"
"41","Kerala","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","220563957.11"
"42","Kerala","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","310898953.29"
