"Sr. No.","Calamity Type","Calamity Name","Hon'ble Members of Parliament","Date of Consent","Consent Amount ( ₹ )"
"1","National Calamity","Flood 2025 in Punjab","Shri Hardeep Singh Puri (2020-26) (2020-2026)","17-Nov-2025","10000000"
"2","National Calamity","Flood 2025 in Punjab","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","04-Nov-2025","10000000"
"3","National Calamity","Flood 2025 in Punjab","Shri Narain Dass Gupta (2024-30) (2024-2030)","03-Nov-2025","7500000"
"4","National Calamity","Flood 2025 in Punjab","Shri Sanjay Singh (2024-30) (2024-2030)","03-Nov-2025","10000000"
"5","National Calamity","Flood 2025 in Punjab","Shri Harbhajan Singh (2022-28) (2022-2028)","03-Nov-2025","10000000"
"6","National Calamity","Flood 2025 in Punjab","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","29-Oct-2025","10000000"
"7","National Calamity","Flood 2025 in Punjab","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","07-Oct-2025","2500000"
"8","National Calamity","Flood 2025 in Punjab","Shri Narain Dass Gupta (2024-30) (2024-2030)","06-Oct-2025","2500000"
"9","National Calamity","Flood 2025 in Punjab","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","19-Sep-2025","10000000"
"10","National Calamity","Meppadi landslides 2024","Shri P. P. Suneer (2024-30) (2024-2030)","21-Apr-2025","7500000"
"11","National Calamity","Meppadi landslides 2024","Dr. John Brittas (2021-27) (2021-2027)","17-Feb-2025","7500000"
"12","National Calamity","Meppadi landslides 2024","Shri P. P. Suneer (2024-30) (2024-2030)","03-Feb-2025","2500000"
"13","State Calamity","Vilangad Landslides 2024","Shri Abdul Wahab (2021-27) (2021-2027)","08-Dec-2024","1000000"
"14","State Calamity","Wayanad landslides 2024","Smt. P. T. Usha (2022-28) (2022-2028)","07-Dec-2024","500000"
"15","State Calamity","Vilangad Landslides 2024","Smt. P. T. Usha (2022-28) (2022-2028)","07-Dec-2024","500000"
"16","State Calamity","Wayanad landslides 2024","Dr. V. Sivadasan (2021-27) (2021-2027)","04-Dec-2024","2500000"
"17","State Calamity","Wayanad landslides 2024","Shri A. A. Rahim (2022-28) (2022-2028)","04-Dec-2024","2500000"
"18","State Calamity","Wayanad landslides 2024","Shri Jose K. Mani (2024-30) (2024-2030)","25-Nov-2024","2500000"
"19","State Calamity","Wayanad landslides 2024","Shri Sandosh Kumar P (2022-28) (2022-2028)","17-Oct-2024","2500000"
"20","State Calamity","Wayanad landslides 2024","Dr. John Brittas (2021-27) (2021-2027)","10-Sep-2024","2500000"
"Grand Total"," "," "," "," ","10,45,00,000"
