"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP187/2023-2024/1362-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask LED Light ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","02-Aug-2023","283000"
"2","Normal/Others","WS/MP187/2023-2024/1363-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","22-Feb-2024","283000"
"3","Normal/Others","WS/MP187/2023-2024/1364-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Lights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","22-Feb-2024","283000"
"4","Normal/Others","WS/MP187/2023-2024/1365-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","22-Feb-2024","283000"
"5","Normal/Others","WS/MP187/2023-2024/1367-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","26-Feb-2024","283000"
"6","Normal/Others","WS/MP187/2023-2024/1368-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Lights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","23-Feb-2024","283000"
"7","Normal/Others","WS/MP187/2023-2024/1369-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Lights","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","N/A","23-Feb-2024","283000"
"8","Normal/Others","WS/MP187/2023-2024/1370-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Lights ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"9","Normal/Others","WS/MP187/2023-2024/1371-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"10","Normal/Others","WS/MP187/2023-2024/1372-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"11","Normal/Others","WS/MP187/2023-2024/1373-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"12","Normal/Others","WS/MP187/2023-2024/1374-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Lights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"13","Normal/Others","WS/MP187/2023-2024/1375-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask StreetLights ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"14","Normal/Others","WS/MP187/2023-2024/1376-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High Mask Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","23-Feb-2024","283000"
"15","Normal/Others","WS/MP187/2023-2024/1377-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MaskStreet Lights ( 6 Light)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
"16","Normal/Others","WS/MP187/2023-2024/1378-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","High MAsk Street Light ( 6 Lights)","Shri Javed Ali Khan (2022-28) (NaN-NaN)","Elected MP","Images","22-Feb-2024","283000"
